ID,Nama_Perusahaan,Nama_Toko,Area,Jenis_Outlet,Tipe_Pembayaran
Cust05,Digital Commerce Corp,Official Store Shopee - Surabaya,Surabaya,Online,TOP/Cash
Cust20,Distribusi Pangan Terpadu,Logistics Center - Surabaya,Surabaya,Distributor,TOP/Cash
Cust01,Digital Commerce Corp,Official Store Shopee - Bandung,Bandung,Online,TOP/Cash
Cust39,PT. Retail Multi Indo,Superindo Hub - Semarang,Semarang,Supermarket,Konsinyasi
Cust40,PT. Retail Multi Indo,Superindo Hub - Surabaya,Surabaya,Supermarket,TOP/Cash
Cust19,Distribusi Pangan Terpadu,Logistics Center - Semarang,Semarang,Distributor,TOP/Cash
Cust18,PT. Logistik Utama Nasional,Logistics Center - Medan,Medan,Distributor,TOP/Cash
Cust33,Jaringan Retailer Nusantara,HyperMart Branch - Medan,Medan,Supermarket,Konsinyasi
Cust06,Digital Commerce Corp,TikTok Shop Star Seller - Bandung,Bandung,Online,TOP/Cash
Cust16,PT. Logistik Utama Nasional,Logistics Center - Bandung,Bandung,Distributor,TOP/Cash
Cust12,PT. Logistik Utama Nasional,Distributor Hub - Jakarta,Jakarta,Distributor,TOP/Cash
Cust07,Digital Commerce Corp,TikTok Shop Star Seller - Jakarta,Jakarta,Online,TOP/Cash
Cust28,Jaringan Retailer Nusantara,Grand Supermarket - Medan,Medan,Supermarket,Konsinyasi
Cust32,PT. Retail Multi Indo,HyperMart Branch - Jakarta,Jakarta,Supermarket,Konsinyasi
Cust21,Distribusi Pangan Terpadu,Warehouse Regional - Bandung,Bandung,Distributor,TOP/Cash
Cust34,Jaringan Retailer Nusantara,HyperMart Branch - Semarang,Semarang,Supermarket,Konsinyasi
Cust04,Digital Commerce Corp,Official Store Shopee - Semarang,Semarang,Online,TOP/Cash
Cust38,Jaringan Retailer Nusantara,Superindo Hub - Medan,Medan,Supermarket,TOP/Cash
Cust24,Distribusi Pangan Terpadu,Warehouse Regional - Semarang,Semarang,Distributor,TOP/Cash
Cust25,Distribusi Pangan Terpadu,Warehouse Regional - Surabaya,Surabaya,Distributor,TOP/Cash
Cust36,PT. Retail Multi Indo,Superindo Hub - Bandung,Bandung,Supermarket,Konsinyasi
Cust11,Distribusi Pangan Terpadu,Distributor Hub - Bandung,Bandung,Distributor,TOP/Cash
Cust31,Jaringan Retailer Nusantara,HyperMart Branch - Bandung,Bandung,Supermarket,TOP/Cash
Cust23,Distribusi Pangan Terpadu,Warehouse Regional - Medan,Medan,Distributor,TOP/Cash
Cust35,PT. Retail Multi Indo,HyperMart Branch - Surabaya,Surabaya,Supermarket,TOP/Cash
Cust14,Distribusi Pangan Terpadu,Distributor Hub - Semarang,Semarang,Distributor,TOP/Cash
Cust30,PT. Retail Multi Indo,Grand Supermarket - Surabaya,Surabaya,Supermarket,TOP/Cash
Cust15,PT. Logistik Utama Nasional,Distributor Hub - Surabaya,Surabaya,Distributor,TOP/Cash
Cust08,Digital Commerce Corp,TikTok Shop Star Seller - Medan,Medan,Online,TOP/Cash
Cust09,Digital Commerce Corp,TikTok Shop Star Seller - Semarang,Semarang,Online,TOP/Cash
Cust02,Digital Commerce Corp,Official Store Shopee - Jakarta,Jakarta,Online,TOP/Cash
Cust13,Distribusi Pangan Terpadu,Distributor Hub - Medan,Medan,Distributor,TOP/Cash
Cust29,Jaringan Retailer Nusantara,Grand Supermarket - Semarang,Semarang,Supermarket,Konsinyasi
Cust10,Digital Commerce Corp,TikTok Shop Star Seller - Surabaya,Surabaya,Online,TOP/Cash
Cust27,Jaringan Retailer Nusantara,Grand Supermarket - Jakarta,Jakarta,Supermarket,Konsinyasi
Cust03,Digital Commerce Corp,Official Store Shopee - Medan,Medan,Online,TOP/Cash
Cust37,Jaringan Retailer Nusantara,Superindo Hub - Jakarta,Jakarta,Supermarket,TOP/Cash
Cust22,PT. Logistik Utama Nasional,Warehouse Regional - Jakarta,Jakarta,Distributor,TOP/Cash
Cust26,Jaringan Retailer Nusantara,Grand Supermarket - Bandung,Bandung,Supermarket,TOP/Cash
Cust17,PT. Logistik Utama Nasional,Logistics Center - Jakarta,Jakarta,Distributor,TOP/Cash
